title,year,condition,mileage,price
Subaru XT,2016,foreign,36565,4315000
Subaru Forester,2016,foreign,64006,4315000
Subaru Forester,2015,foreign,60521,3415000
Subaru Impreza,2015,foreign,83705,2015000
Subaru XT,2015,foreign,62144,4015000
Subaru Legacy,2011,local,132815,1415000
Subaru Forester,2015,foreign,77087,3015000
Subaru XV,2015,foreign,116582,2315000
Subaru Forester,2015,foreign,100104,2830000
Subaru Levorg,2015,foreign,111191,2015000
Subaru Forester,2015,foreign,39326,2830000
Subaru Levorg,2014,foreign,205425,2030000
Subaru Outback,2015,foreign,96427,3130000
Subaru Outback,2015,foreign,76824,2915000
Subaru WRX STI,2015,foreign,112476,2330000
Subaru Legacy,2000,local,209714,580000
Subaru Outback,2015,foreign,124587,3130000
Subaru Forester,2014,foreign,91107,2365000
Subaru Outback,2014,foreign,76552,2630000
Subaru Forester,2016,foreign,108497,3815000
Subaru Legacy B4,2015,foreign,98475,2615000
Subaru Impreza,2015,foreign,45247,1965000
Subaru Tribeca,2007,foreign,145322,830000
Subaru Forester,2014,foreign,88044,3515000
Subaru Outback,2014,foreign,87196,3030000
Subaru Impreza,2014,foreign,56707,1680000
Subaru Legacy,2016,foreign,83400,2445000
Subaru Outback,2015,foreign,99078,3045000
Subaru G4,2015,foreign,83400,2415000
Subaru Outback,2015,foreign,129245,3515000
Subaru WRX STI,2015,foreign,108133,2515000
Subaru Outback,2015,foreign,86930,3515000
Subaru Forester,2015,foreign,86790,2915000
Subaru Outback,2015,foreign,80760,2915000
Subaru XV,2015,foreign,35102,2415000
Subaru Forester,2015,foreign,69226,3215000
Subaru Legacy,2011,local,170266,1365000
Subaru Impreza Hybrid,2015,foreign,103705,2515000
Subaru Outback,2015,foreign,99719,2915000
Subaru Impreza,2014,foreign,129569,1615000
Subaru Forester,2015,foreign,72701,2965000
Subaru Impreza,2014,foreign,172102,1530000
Subaru Levorg,2014,local,106346,1815000
Subaru Legacy B4,2015,foreign,93878,2315000
Subaru Impreza,2014,foreign,67990,1525000
Subaru Forester,2014,foreign,61455,2925000
Subaru Forester,2019,local,64310,5515000
Subaru Levorg,2015,foreign,161941,1815000
Subaru Outback,2015,foreign,110708,2915000
Subaru Outback,2014,foreign,115494,3215000
Subaru Outback,2014,foreign,99195,3115000
Subaru Legacy B4,2014,foreign,132344,1815000
Subaru XV,2014,foreign,155307,2130000
Subaru XT,2015,foreign,112062,3460000
Subaru Impreza,2016,foreign,56994,1565000
Subaru Impreza,2015,foreign,56497,1565000
Subaru G4,2012,local,125956,1165000
Subaru Forester,2015,foreign,84736,3115000
Subaru Forester,2015,foreign,104650,3615000
Subaru Forester,2015,foreign,49374,3665000
Subaru Forester,2016,foreign,100133,3315000
Subaru Impreza,2015,foreign,43249,1765000
Subaru Outback,2015,foreign,127734,3215000
Subaru Outback,2014,foreign,117284,3315000
Subaru WRX STI,2014,foreign,128639,2415000
Subaru Levorg,2014,foreign,108201,2215000
Subaru Outback,2015,local,81560,3480000
Subaru Forester,2014,foreign,195848,2715000
Subaru XT,2015,foreign,54982,2765000
Subaru Trezia,2016,foreign,212615,1165000
Subaru Trezia,2016,foreign,59501,1180000
Subaru Impreza,2014,foreign,219006,1565000
Subaru Legacy B4,2012,local,172363,1315000
Subaru CROSSOVER,2016,foreign,96660,2815000
Subaru Forester,2015,foreign,206139,3515000
Subaru XV,2015,foreign,160874,2515000
Subaru XT,2014,local,158997,2215000
Subaru Impreza,2012,local,108607,1095000
Subaru Forester,2015,foreign,112301,2780000
Subaru Impreza,2015,foreign,110274,1765000
Subaru Trezia,2014,foreign,31726,1080000
Subaru Forester,2015,foreign,84464,3015000
Subaru Outback,2015,foreign,92197,3515000
Subaru G4,2013,foreign,115355,1480000
Subaru Forester,2014,foreign,121549,2930000
Subaru Legacy B4,2014,foreign,142074,2430000
Subaru Impreza,2014,foreign,267206,1545000
Subaru Forester,2015,foreign,130401,3315000
Subaru Legacy B4,2014,foreign,98744,2145000
Subaru Outback,2014,foreign,120478,3065000
Subaru Forester,2014,foreign,52409,2965000
Subaru Outback,2015,foreign,56742,3130000
Subaru Forester,2014,local,136021,2045000
Subaru Outback,2015,foreign,102811,3045000
Subaru Sambar,2014,foreign,81927,825000
Subaru Forester,2015,foreign,97953,2830000
Subaru Outback,2015,foreign,101259,3315000
Subaru G4,2014,foreign,56894,1465000
Subaru Impreza,2014,foreign,102202,1330000
Subaru Forester,2013,local,98803,2515000
Subaru Legacy,2015,foreign,125893,2015000
Subaru Forester,2013,local,134030,2265000
Subaru Trezia,2014,foreign,23019,1215000
Subaru Forester,2014,local,103567,2215000
Subaru Forester,2009,local,184372,1315000
Subaru Outback,2015,foreign,70250,3315000
Subaru Outback,2015,foreign,77980,3315000
Subaru Trezia,2016,foreign,57498,1215000
Subaru XV,2015,foreign,153310,2515000
Subaru Legacy,2014,foreign,149327,2115000
Subaru Levorg,2014,foreign,91507,2030000
Subaru Forester,2014,foreign,107658,2965000
Subaru Forester,2014,local,100964,2515000
