"title","model","condition","yom","mileage","price"
"Subaru Forester 2014 Gray","Forester","Foreign Used","2014",NA,2890000
"Subaru Forester 2014 Blue","Forester","Foreign Used","2014",100862,2400000
"Subaru XV 2014 Sport Package Blue","XV","Foreign Used","2014",115000,1850000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",38000,2400000
"New Subaru Impreza 2012 WRX Hatchback STI Limited White","Impreza","Brand New","2012",6683,1950000
"Subaru Forester 2014 Green","Forester","Foreign Used","2014",89021,2700000
"Subaru Legacy 2012 Silver","Legacy","Kenyan Used","2012",179449,870000
"Subaru Impreza 2014 Silver","Impreza","Foreign Used","2014",NA,1350000
"Subaru Impreza 2014 White","Impreza","Foreign Used","2014",83000,1350000
"Subaru Levorg 2014 White","Levorg","Foreign Used","2014",NA,1950000
"Subaru Impreza 2014 Silver","Impreza","Foreign Used","2014",64000,1240000
"Subaru Impreza 2013 Silver","Impreza","Kenyan Used","2013",119203,1070000
"Subaru Levorg 2014 1.6 GT-S EyeSight Gray","Levorg","Foreign Used","2014",89333,1900000
"Subaru Impreza 2014 White","Impreza","Foreign Used","2014",159711,1380000
"Subaru Forester 2014 Silver","Forester","Foreign Used","2014",81320,2850000
"Subaru Forester 2008 Gold","Forester","Kenyan Used","2008",132568,1280000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",78000,2800000
"Subaru Legacy 2002 Silver","Legacy","Kenyan Used","2002",NA,475000
"New Subaru Impreza 2013 White","Impreza","Brand New","2013",76528,1450000
"Subaru Levorg 2014 1.6 GT-S EyeSight Pearl","Levorg","Foreign Used","2014",NA,1900000
"Subaru Forester 2014 Beige","Forester","Foreign Used","2014",76056,2850000
"Subaru Impreza 2014 Blue","Impreza","Foreign Used","2014",74123,1400000
"Subaru Legacy 2013 White","Legacy","Foreign Used","2013",99021,1300000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",93459,2950000
"Subaru Impreza 2014 Black","Impreza","Foreign Used","2014",450000,1300000
"Subaru Outback 2015 Gold","Outback","Foreign Used","2015",NA,3550000
"Subaru Outback 2014 Gray","Outback","Foreign Used","2014",80000,2700000
"New Subaru Impreza 2015 Blue","Impreza","Brand New","2015",46125,1600000
"Subaru Forester 2014 Gray","Forester","Foreign Used","2014",91701,2880000
"Subaru Forester 2015 Green","Forester","Foreign Used","2015",56124,3000000
"Subaru XV 2013 Green","XV","Foreign Used","2013",86523,1700000
"Subaru Levorg 2014 2.0 GT EyeSight Blue","Levorg","Foreign Used","2014",69863,1999000
"Subaru Outback 2014 Blue","Outback","Foreign Used","2014",95000,3300000
"Subaru Forester 2014 White","Forester","Foreign Used","2014",90000,2650000
"Subaru Exiga 2014 Black","Exiga","Foreign Used","2014",65000,1300000
"Subaru Forester 2014 White","Forester","Kenyan Used","2014",77678,2600000
"Subaru Forester 2013 Brown","Forester","Foreign Used","2013",46125,2600000
"Subaru Levorg 2014 White","Levorg","Foreign Used","2014",NA,1850000
"Subaru Legacy 2014 Off White","Legacy","Foreign Used","2014",67951,1700000
"Subaru SVX 2014 Blue","SVX","Foreign Used","2014",125000,3000000
"Subaru Impreza 2013 2.0i 4-dr Red","Impreza","Foreign Used","2013",67639,1950000
"Subaru Forester 2014 Silver","Forester","Foreign Used","2014",81533,3000000
"Subaru XV 2014 Black","XV","Foreign Used","2014",92000,2080000
"Subaru Forester 2015 White","Forester","Foreign Used","2015",68653,2900000
"Subaru Outback 2014 White","Outback","Foreign Used","2014",63142,2500000
"Subaru Forester 2013 White","Forester","Foreign Used","2013",49898,2400000
"Subaru Legacy 2011 White","Legacy","Kenyan Used","2011",191194,1400000
"Subaru Impreza 2015 Red","Impreza","Foreign Used","2015",69857,1580000
"Subaru Outback 2015 Blue","Outback","Foreign Used","2015",90000,3450000
"Subaru Outback 2015 Red","Outback","Foreign Used","2015",78000,3600000
"Subaru Outback 2015 Black","Outback","Foreign Used","2015",NA,3350000
"Subaru Levorg 2014 1.6 GT-S EyeSight S Style Blue","Levorg","Foreign Used","2014",87000,1695000
"Subaru Forester 2014 Off White","Forester","Foreign Used","2014",NA,3100000
"Subaru Outback 2014 Brown","Outback","Foreign Used","2014",68711,2500000
"Subaru Forester 2005 2.0 X Active Silver","Forester","Kenyan Used","2005",227000,800000
"Subaru Outback 2013 2.5i Limited White","Outback","Foreign Used","2013",NA,2200000
"Subaru Forester 2009 2.0D XS Red","Forester","Kenyan Used","2009",149000,1385000
"Subaru Legacy 2014 Black","Legacy","Foreign Used","2014",89000,2150000
"Subaru Outback 2015 Blue","Outback","Foreign Used","2015",78000,2700000
"Subaru Outback 2010 2.5i Limited Pearl","Outback","Kenyan Used","2010",NA,1280000
"Subaru Forester 2015 Matt Black","Forester","Foreign Used","2015",86910,2450000
"Subaru Outback 2012 White","Outback","Kenyan Used","2012",69000,1450000
"Subaru Outback 2016 Black","Outback","Foreign Used","2016",56436,3300000
"Subaru Forester 2015 Black","Forester","Foreign Used","2015",65325,2850000
"Subaru Legacy 2015 Black","Legacy","Foreign Used","2015",58040,2300000
"Subaru Impreza 2014 Silver","Impreza","Foreign Used","2014",194000,1420000
"Subaru Levorg 2014 1.6 GT-S EyeSight S Style Matt Black","Levorg","Foreign Used","2014",87946,1800000
"Subaru Outback 2014 Black","Outback","Foreign Used","2014",115000,3500000
"New Subaru Outback 2013 Silver","Outback","Brand New","2013",79000,2100000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",112000,2700000
"Subaru Forester 2002 Automatic Gold","Forester","Kenyan Used","2002",NA,615000
"Subaru Forester 2012 2.0D X Silver","Forester","Kenyan Used","2012",111000,1750000
"Subaru Impreza 2007 Silver","Impreza","Kenyan Used","2007",177225,510000
"Subaru Levorg 2014 Teal","Levorg","Foreign Used","2014",NA,1850000
"New Subaru Forester 2014 Gold","Forester","Brand New","2014",79813,2650000
"Subaru Forester 2014","Forester","Foreign Used","2014",54000,3000000
"Subaru XV 2014 Sport Package Black","XV","Foreign Used","2014",63125,1800000
"Subaru Forester 2014 Gray","Forester","Foreign Used","2014",85636,2800000
"Subaru Levorg 2016 Blue","Levorg","Foreign Used","2016",50000,1800000
"Subaru XV 2014 Limited Package Off White","XV","Foreign Used","2014",68736,2100000
"Subaru Outback 2016 2.5i Premium AWD Silver","Outback","Foreign Used","2016",136000,3300000
"Subaru Forester 2014 Blue","Forester","Foreign Used","2014",52000,2800000
"Subaru Outback 2015 White","Outback","Foreign Used","2015",69500,3200000
"Subaru Trezia 2014 1.3i Black","Trezia","Foreign Used","2014",84540,1050000
"Subaru Legacy 2011 2.5i White","Legacy","Kenyan Used","2011",125635,1095000
"Subaru XV 2015 White","XV","Foreign Used","2015",89452,1950000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",76315,3000000
